Compound	H	C	N	O	P	S	Cl	Co	Se
11alpha-Hydroxyprogesterone_C21H30O3_330.219513	30	126	0	24	0	0	0	0	0
2-Amino-2-deoxy-D-gluconate_C6H13NO6_195.074295	13	36	7	48	0	0	0	0	0
5-Guanidino-2-oxopentanoate_C6H11N3O3_173.080002	11	36	21	24	0	0	0	0	0
"5beta-Androstane-3,17-dione_C19H28O2_288.208893"	28	114	0	16	0	0	0	0	0
"D-Tagatose+1,6-bisphosphate_C6H14O12P2_339.996002"	14	36	0	96	30	0	0	0	0
"N6,N6,N6-Trimethyl-L-lysine_C9H20N2O2_188.152496"	20	54	14	16	0	0	0	0	0
"N6-(1,2-Dicarboxyethyl)-AMP_C14H18N5O11P_463.073914"	18	84	35	88	15	0	0	0	0
2-Dehydro-3-deoxy-D-xylonate_C5H8O5_148.037201	8	30	0	40	0	0	0	0	0
5'-Phosphoribosylglycinamide_C7H15N2O8P_286.056610	15	42	14	64	15	0	0	0	0
L-Serine-phosphoethanolamine_C5H13N2O6P_228.051193	13	30	14	48	15	0	0	0	0
beta-L-Arabinose+1-phosphate_C5H11O8P_230.019196	11	30	0	64	15	0	0	0	0
(S)-1-Pyrroline-5-carboxylate_C5H7NO2_113.047699	7	30	7	16	0	0	0	0	0
17beta-Hydroxyandrostan-3-one_C19H30O2_290.224487	30	114	0	16	0	0	0	0	0
"2,4-Dichloro-cis,cis-muconate_C6H4Cl2O4_209.948700"	4	36	0	32	0	0	34	0	0
2-Dehydro-3-deoxy-D-glucarate_C6H8O7_192.026993	8	36	0	56	0	0	0	0	0
6beta-Hydroxyestradiol-17beta_C18H24O3_288.172485	24	108	0	24	0	0	0	0	0
"(2R,4S)-2,4-Diaminopentanoate_C5H12N2O2_132.089905"	12	30	14	16	0	0	0	0	0
N6-Acetyl-N6-hydroxy-L-lysine_C8H16N2O4_204.110992	16	48	14	32	0	0	0	0	0
2-Dehydro-3-deoxy-L-rhamnonate_C6H10O5_162.052795	10	36	0	40	0	0	0	0	0
2-Hydroxyethylenedicarboxylate_C4H4O5_132.005905	4	24	0	40	0	0	0	0	0
5-Hydroxymethyldeoxycytidylate_C10H16N3O8P_337.067505	16	60	21	64	15	0	0	0	0
1D-myo-Inositol+3-phosphate_C6H13O9P_260.029785	13	36	0	72	15	0	0	0	0
N2-(D-1-Carboxyethyl)-L-lysine_C9H18N2O4_218.126694	18	54	14	32	0	0	0	0	0
1-Phospho-alpha-D-galacturonate_C6H11O10P_274.009003	11	36	0	80	15	0	0	0	0
20alpha-Hydroxy-4-pregnen-3-one_C21H32O2_316.240204	32	126	0	16	0	0	0	0	0
"3-(2,3-Dihydroxyphenyl)propanoate_C9H10O4_182.057907"	10	54	0	32	0	0	0	0	0
"3-(3,4-Dihydroxyphenyl)pyruvate_C9H8O5_196.037201"	8	54	0	40	0	0	0	0	0
5-Amino-4-imidazolecarboxyamide_C4H6N4O_126.054199	6	24	28	8	0	0	0	0	0
5-Carboxy-2-oxohept-3-enedioate_C8H8O7_216.026993	8	48	0	56	0	0	0	0	0
"9-cis,11-trans-Octadecadienoate_C18H32O2_280.240204"	32	108	0	16	0	0	0	0	0
"D-myo-Inositol+1,3-bisphosphate_C6H14O12P2_339.996002"	14	36	0	96	30	0	0	0	0
"D-myo-Inositol+3,4-bisphosphate_C6H14O12P2_339.996002"	14	36	0	96	30	0	0	0	0
UDP-4-dehydro-6-deoxy-D-glucose_C15H22N2O16P2_548.044312	22	90	14	128	30	0	0	0	0
"cis-1,2-Dihydrobenzene-1,2-diol_C6H8O2_112.052399"	8	36	0	16	0	0	0	0	0
delta1-Piperideine-2-carboxylate_C6H9NO2_127.063301	9	36	7	16	0	0	0	0	0
2-(Hydroxymethyl)-4-oxobutanoate_C5H8O4_132.042297	8	30	0	32	0	0	0	0	0
"3-Methyl-cis,cis-hexadienedioate_C7H8O4_156.042297"	8	42	0	32	0	0	0	0	0
4-Carboxy-4-hydroxy-2-oxoadipate_C7H8O8_220.021896	8	42	0	64	0	0	0	0	0
D-1-Aminopropan-2-ol+O-phosphate_C3H10NO4P_155.034805	10	18	7	32	15	0	0	0	0
N-Acetyl-L-glutamate+5-phosphate_C7H12NO8P_269.030090	12	42	7	64	15	0	0	0	0
N2-(D-1-Carboxyethyl)-L-arginine_C9H18N4O4_246.132797	18	54	28	32	0	0	0	0	0
alpha-N-Phenylacetyl-L-glutamine_C13H16N2O4_264.111115	16	78	14	32	0	0	0	0	0
4-Hydroxy-4-methyl-2-oxoglutarate_C6H8O6_176.032104	8	36	0	48	0	0	0	0	0
"5,6-Dihydroxyindole-2-carboxylate_C9H7NO4_193.037506"	7	54	7	32	0	0	0	0	0
5-Carboxymethyl-2-hydroxymuconate_C8H8O7_216.026993	8	48	0	56	0	0	0	0	0
S-Methyl-5-thio-D-ribose+1-phosphate_C6H13O7PS_260.011993	13	36	0	56	15	16	0	0	0
1-Acyl-sn-glycero-3-phosphocholine_C9H20NO7PR_285.097687	20	54	7	56	15	0	0	0	0
2-Acyl-sn-glycero-3-phosphocholine_C9H20NO7PR_285.097687	20	54	7	56	15	0	0	0	0
N-Acetyl-D-glucosamine+1-phosphate_C8H16NO9P_301.056305	16	48	7	72	15	0	0	0	0
N-Acetyl-D-mannosamine+6-phosphate_C8H16NO9P_301.056305	16	48	7	72	15	0	0	0	0
L-1-Pyrroline-3-hydroxy-5-carboxylate_C5H7NO3_129.042603	7	30	7	24	0	0	0	0	0
1-Pyrroline-4-hydroxy-2-carboxylate_C5H7NO3_129.042603	7	30	7	24	0	0	0	0	0
"3,5/4-Trihydroxycyclohexa-1,2-dione_C6H8O5_160.037201"	8	36	0	40	0	0	0	0	0
5-(2-Hydroxyethyl)-4-methylthiazole_C6H9NOS_143.040497	9	36	7	8	0	16	0	0	0
"Androst-5-ene-3beta,17beta-diol_C19H30O2_290.224487"	30	114	0	16	0	0	0	0	0
"CDP-4-dehydro-3,6-dideoxy-D-glucose_C15H23N3O14P2_531.065430"	23	90	21	112	30	0	0	0	0
"cis-1,2-Dihydronaphthalene-1,2-diol_C10H10O2_162.068100"	10	60	0	16	0	0	0	0	0
sn-3-D-Galactosyl-sn-2-acylglycerol_C10H17O9R_281.087311	17	60	0	72	0	0	0	0	0
1-Organyl-2-lyso-sn-glycero-3-phosphocholine_C8H20NO6PR_257.102814	20	48	7	48	15	0	0	0	0
"4-Carboxy-2-hydroxy-cis,cis-muconate_C7H6O7_202.011398"	6	42	0	56	0	0	0	0	0
4-Methyl-5-(2-phosphoethyl)-thiazole_C6H10NO4PS_223.006805	10	36	7	32	15	16	0	0	0
"6,7-Dimethyl-8-(1-D-ribityl)lumazine_C13H18N4O6_326.122589"	18	78	28	48	0	0	0	0	0
(3S)-3-Carboxy-3-hydroxypropanoyl-CoA_C25H40N7O20P3S_883.126221	40	150	49	160	45	16	0	0	0
(Z)-4-Hydroxyphenylacetaldehyde-oxime_C8H9NO2_151.063293	9	48	7	16	0	0	0	0	0
3-Amino-3-(4-hydroxyphenyl)propanoate_C9H11NO3_181.073898	11	54	7	24	0	0	0	0	0
3alpha-Hydroxy-5beta-androstan-17-one_C19H30O2_290.224487	30	114	0	16	0	0	0	0	0
5'-Phosphoribosyl-N-formylglycinamide_C8H15N2O9P_314.051514	15	48	14	72	15	0	0	0	0
"P1,P4-Bis(5'-xanthosyl)+tetraphosphate_C20H26N8O23P4_870.006104"	26	120	56	184	60	0	0	0	0
"(2S,3S)-3-Hydroxy-2-methylbutanoyl-CoA_C26H44N7O18P3S_867.167725"	44	156	49	144	45	16	0	0	0
2-Amino-3-carboxymuconate+semialdehyde_C7H7NO5_185.032394	7	42	7	40	0	0	0	0	0
S-(2-Methylpropanoyl)-dihydrolipoamide_C12H23NO2S2_277.117004	23	72	7	16	0	32	0	0	0
cis-4-Carboxymethylenebut-2-en-4-olide_C6H4O4_140.011002	4	36	0	32	0	0	0	0	0
"(Z)-2-Methyl-5-isopropylhexa-2,5-dienal_C10H16O_152.120102"	16	60	0	8	0	0	0	0	0
1-(5-Phosphoribosyl)imidazole-4-acetate_C10H15N2O9P_338.051392	15	60	14	72	15	0	0	0	0
"4-Carboxy-2-hydroxyhexa-2,4-dienedioate_C7H6O7_202.011398"	6	42	0	56	0	0	0	0	0
5-Amino-6-(5'-phosphoribitylamino)uracil_C9H17N4O9P_356.073212	17	54	28	72	15	0	0	0	0
"(+)-cis-3,4-Dihydrophenanthrene-3,4-diol_C14H12O2_212.083801"	12	84	0	16	0	0	0	0	0
"1D-myo-Inositol+1,3,4,6-tetrakisphosphate_C6H16O18P4_499.928497"	16	36	0	144	60	0	0	0	0
"2-Hydroxy-6-oxonona-2,4-diene-1,9-dioate_C9H10O6_214.047806"	10	54	0	48	0	0	0	0	0
3-Carboxy-2-hydroxymuconate+semialdehyde_C7H6O6_186.016495	6	42	0	48	0	0	0	0	0
4-Carboxy-2-hydroxymuconate+semialdehyde_C7H6O6_186.016495	6	42	0	48	0	0	0	0	0
Guanosine+3'-diphosphate+5'-triphosphate_C10H18N5O20P5_682.922974	18	60	35	160	75	0	0	0	0
1-(1-Alkenyl)-sn-glycero-3-phosphocholine_C10H22NO6PR_283.118500	22	60	7	48	15	0	0	0	0
"17alpha,20alpha-Dihydroxypregn-4-en-3-one_C21H32O3_332.235107"	32	126	0	24	0	0	0	0	0
"1D-myo-Inositol+3,4,5,6-tetrakisphosphate_C6H16O18P4_499.928589"	16	36	0	144	60	0	0	0	0
"2-Chloro-2,5-dihydro-5-oxofuran-2-acetate_C6H5ClO4_175.987701"	5	36	0	32	0	0	17	0	0
Magnesium+protoporphyrin+monomethyl+ester_C35H34MgN4O4_598.242920	34	210	28	32	0	0	0	0	0
(R)-3-((R)-3-Hydroxybutanoyloxy)butanoate_C8H14O5_190.084106	14	48	0	40	0	0	0	0	0
"3-Carboxy-2,5-dihydro-5-oxofuran-2-acetate_C7H6O6_186.016403"	6	42	0	48	0	0	0	0	0
3beta-Hydroxyandrost-5-en-17-one+3-sulfate_C19H28O5S_368.165710	28	114	0	40	0	16	0	0	0
4-Amino-2-methyl-5-phosphomethylpyrimidine_C6H10N3O4P_219.040894	10	36	21	32	15	0	0	0	0
"4-Carboxymethyl-4-methylbut-2-en-1,4-olide_C7H8O4_156.042297"	8	42	0	32	0	0	0	0	0
"D-myo-Inositol+1,2,4,5,6-pentakisphosphate_C6H17O21P5_579.895020"	17	36	0	168	75	0	0	0	0
UDP-N-acetyl-2-amino-2-deoxy-D-glucuronate_C17H25N3O18P2_621.060730	25	102	21	144	30	0	0	0	0
"(4R,5S)-4,5,6-Trihydroxy-2,3-dioxohexanoate_C6H8O7_192.026993"	8	36	0	56	0	0	0	0	0
15-OxoETE_C20H30O3_318.219513	30	120	0	24	0	0	0	0	0
"Inositol+1,2,3,4,5-pentakisphosphate_C6H17O21P5_579.895020"	17	36	0	168	75	0	0	0	0
S-Methyl-5-thio-D-ribulose+1-phosphate_C6H13O7PS_260.011993	13	36	0	56	15	16	0	0	0
Toluene-cis-dihydrodiol_C7H10O2_126.068100	10	42	0	16	0	0	0	0	0
"(2S,3R)-3-Hydroxybutane-1,2,3-tricarboxylate_C7H10O7_206.042694"	10	42	0	56	0	0	0	0	0
"1,1-Dichloro-2,2-bis(4-chlorophenyl)ethylene_C14H8Cl4_315.937988"	8	84	0	0	0	0	68	0	0
2-Acetyl-1-alkyl-sn-glycero-3-phosphocholine_C10H22NO7PR_299.113312	22	60	7	56	15	0	0	0	0
"3-Hydroxy-2-methylpyridine-4,5-dicarboxylate_C8H7NO5_197.032394"	7	48	7	40	0	0	0	0	0
"1,1,1-Trichloro-2,2-bis(4-chlorophenyl)ethane_C14H9Cl5_351.914703"	9	84	0	0	0	0	85	0	0
UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine_C20H29N3O19P2_677.086975	29	120	21	152	30	0	0	0	0
1-(1-Alkenyl)-sn-glycero-3-phosphoethanolamine_C7H15NO6PR_240.063705	15	42	7	48	15	0	0	0	0
2-(Formamido)-N1-(5'-phosphoribosyl)acetamidine_C8H16N3O8P_313.067505	16	48	21	64	15	0	0	0	0
2-Hydroxy-5-carboxymethylmuconate+semialdehyde_C8H8O6_200.032104	8	48	0	48	0	0	0	0	0
D-erythro-1-(Imidazol-4-yl)glycerol+3-phosphate_C6H11N2O6P_238.035507	11	36	14	48	15	0	0	0	0
Testololactone_C19H26O3_302.188202	26	114	0	24	0	0	0	0	0
1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide_C9H15N4O8P_338.062805	15	54	28	64	15	0	0	0	0
2-(Hydroxymethyl)-3-(acetamidomethylene)succinate_C8H11NO6_217.058594	11	48	7	48	0	0	0	0	0
"cis-2-Chloro-4-carboxymethylenebut-2-en-1,4-olide_C6H3ClO4_173.972000"	3	36	0	32	0	0	17	0	0
"(9Z,11E)-(13S)-13-Hydroperoxyoctadeca-9,11-dienoic+acid_C18H32O4_312.230011"	32	108	0	32	0	0	0	0	0
"trans-2-Chloro-4-carboxymethylenebut-2-en-1,4-olide_C6H3ClO4_173.972000"	3	36	0	32	0	0	17	0	0
"4-(1-D-Ribitylamino)-5-amino-2,6-dihydroxypyrimidine_C9H16N4O6_276.106995"	16	54	28	48	0	0	0	0	0
1-(5'-Phosphoribosyl)-5-formamido-4-imidazolecarboxamide_C10H15N4O9P_366.057709	15	60	28	72	15	0	0	0	0
"(15S)-15-Hydroxy-5,8,11-cis-13-trans-eicosatetraenoate_C20H32O3_320.235199"	32	120	0	24	0	0	0	0	0
1-(5-Phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate_C9H14N3O9P_339.046814	14	54	21	72	15	0	0	0	0
2-Methyl-4-amino-5-hydroxymethylpyrimidine+diphosphate_C6H11N3O7P2_299.007202	11	36	21	56	30	0	0	0	0
3-Hydroxy-4-hydroxymethyl-2-methylpyridine-5-carboxylate_C8H9NO4_183.053207	9	48	7	32	0	0	0	0	0
"N1-(5-Phospho-alpha-D-ribosyl)-5,6-dimethylbenzimidazole_C14H19N2O7P_358.092896"	19	84	14	56	15	0	0	0	0
"cis-4,5-Dihydroxycyclohexa-1(6),2-diene-1,2-dicarboxylate_C8H8O6_200.032104"	8	48	0	48	0	0	0	0	0
"4-(L-Alanin-3-yl)-2-hydroxy-cis,cis-muconate+6-semialdehyde_C9H11NO6_229.058701"	11	54	7	48	0	0	0	0	0
"5-(L-Alanin-3-yl)-2-hydroxy-cis,cis-muconate+6-semialdehyde_C9H11NO6_229.058701"	11	54	7	48	0	0	0	0	0
5(S)-HETE_C20H32O3_320.235107	32	120	0	24	0	0	0	0	0
8(R)-HPETE_C20H32O4_336.230103	32	120	0	32	0	0	0	0	0
1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole_C13H19N4O12P_454.073700	19	78	28	96	15	0	0	0	0
20-OH-Leukotriene+B4_C20H32O5_352.225006	32	120	0	40	0	0	0	0	0
5-(5-Phospho-D-ribosylaminoformimino)-1-(5-phosphoribosyl)-_C15H25N5O15P2_577.082214	25	90	35	120	30	0	0	0	0
N-(5'-Phospho-D-1'-ribulosylformimino)-5-amino-1-(5''-phospho-D-_C15H25N5O15P2_577.082214	25	90	35	120	30	0	0	0	0
3-Ureidoisobutyrate_C5H10N2O3_146.069107	10	30	14	24	0	0	0	0	0
3-Hydroxybutanoyl-CoA_C25H42N7O18P3S_853.151917	42	150	49	144	45	16	0	0	0
S-(2-Methylbutanoyl)-dihydrolipoamide_C13H25NO2S2_291.132690	25	78	7	16	0	32	0	0	0
S-(3-Methylbutanoyl)-dihydrolipoamide_C13H25NO2S2_291.132690	25	78	7	16	0	32	0	0	0
2-Hydroxyethanesulfonate_C2H6O4S_125.998703	6	12	0	32	0	16	0	0	0
N-Methylhistamine_C6H11N3_125.095299	11	36	21	0	0	0	0	0	0
Imidazole-4-acetaldehyde_C5H6N2O_110.047997	6	30	14	8	0	0	0	0	0
(1-Ribosylimidazole)-4-acetate_C10H14N2O6_258.085205	14	60	14	48	0	0	0	0	0
4-Imidazolone-5-acetate_C5H6N2O3_142.037796	6	30	14	24	0	0	0	0	0
4-(beta-Acetylaminoethyl)imidazole_C7H11N3O_153.090195	11	42	21	8	0	0	0	0	0
17alpha-Hydroxypregnenolone_C21H32O3_332.235107	32	126	0	24	0	0	0	0	0
16alpha-Hydroxydehydroepiandrosterone_C19H28O3_304.203796	28	114	0	24	0	0	0	0	0
"16alpha-Hydroxyandrost-4-ene-3,17-dione_C19H26O3_302.188202"	26	114	0	24	0	0	0	0	0
Estriol_C18H24O3_288.172485	24	108	0	24	0	0	0	0	0
Dhurrin_C14H17NO7_311.100494	17	84	7	56	0	0	0	0	0
3-Aminoisobutanoate_C4H9NO2_103.063301	9	24	7	16	0	0	0	0	0
"2,5-Diaminohexanoate_C6H14N2O2_146.105499"	14	36	14	16	0	0	0	0	0
2-Amino-5-oxocyclohex-1-enecarbonyl-CoA_C28H43N8O18P3S_904.162903	43	168	56	144	45	16	0	0	0
alpha-Amino+acid_C2H4NO2R_74.024200	4	12	7	16	0	0	0	0	0
Selenophosphate_H3O3PSe_161.898499	3	0	0	24	15	0	0	0	34
Hydroxyacetone_C3H6O2_74.036797	6	18	0	16	0	0	0	0	0
5-Aminoimidazole_C3H5N3_83.048302	5	18	21	0	0	0	0	0	0
(S)-3-Hydroxyhexadecanoyl-CoA_C37H66N7O18P3S_1021.339783	66	222	49	144	45	16	0	0	0
3-Oxopalmitoyl-CoA_C37H64N7O18P3S_1019.324219	64	222	49	144	45	16	0	0	0
(S)-3-Hydroxytetradecanoyl-CoA_C35H62N7O18P3S_993.308472	62	210	49	144	45	16	0	0	0
(S)-3-Hydroxydodecanoyl-CoA_C33H58N7O18P3S_965.277283	58	198	49	144	45	16	0	0	0
3-Oxododecanoyl-CoA_C33H56N7O18P3S_963.261719	56	198	49	144	45	16	0	0	0
(S)-Hydroxydecanoyl-CoA_C31H54N7O18P3S_937.245911	54	186	49	144	45	16	0	0	0
3-Oxodecanoyl-CoA_C31H52N7O18P3S_935.230286	52	186	49	144	45	16	0	0	0
(S)-Hydroxyoctanoyl-CoA_C29H50N7O18P3S_909.214600	50	174	49	144	45	16	0	0	0
3-Oxooctanoyl-CoA_C29H48N7O18P3S_907.198975	48	174	49	144	45	16	0	0	0
(S)-Hydroxyhexanoyl-CoA_C27H46N7O18P3S_881.183289	46	162	49	144	45	16	0	0	0
3-Oxohexanoyl-CoA_C27H44N7O18P3S_879.167725	44	162	49	144	45	16	0	0	0
Hexanoyl-CoA_C27H46N7O17P3S_865.188416	46	162	49	136	45	16	0	0	0
trans-Hex-2-enoyl-CoA_C27H44N7O17P3S_863.172729	44	162	49	136	45	16	0	0	0
trans-Hexadec-2-enoyl-CoA_C37H64N7O17P3S_1003.328979	64	222	49	136	45	16	0	0	0
trans-Tetradec-2-enoyl-CoA_C35H60N7O17P3S_975.297913	60	210	49	136	45	16	0	0	0
Decanoyl-CoA_C31H54N7O17P3S_921.250916	54	186	49	136	45	16	0	0	0
trans-Dec-2-enoyl-CoA_C31H52N7O17P3S_919.235291	52	186	49	136	45	16	0	0	0
trans-Oct-2-enoyl-CoA_C29H48N7O17P3S_891.203979	48	174	49	136	45	16	0	0	0
"trans,cis-Lauro-2,6-dienoyl-CoA_C33H54N7O17P3S_945.250916"	54	198	49	136	45	16	0	0	0
"cis,cis-3,6-Dodecadienoyl-CoA_C33H54N7O17P3S_945.250916"	54	198	49	136	45	16	0	0	0
"11beta-Hydroxyandrost-4-ene-3,17-dione_C19H26O3_302.188202"	26	114	0	24	0	0	0	0	0
Adrenosterone_C19H24O3_300.172485	24	114	0	24	0	0	0	0	0
"19-Hydroxyandrost-4-ene-3,17-dione_C19H26O3_302.188202"	26	114	0	24	0	0	0	0	0
7alpha-Hydroxytestosterone_C19H28O3_304.203796	28	114	0	24	0	0	0	0	0
5beta-Dihydrotestosterone_C19H30O2_290.224487	30	114	0	16	0	0	0	0	0
19-Hydroxytestosterone_C19H28O3_304.203796	28	114	0	24	0	0	0	0	0
"7alpha-Hydroxyandrost-4-ene-3,17-dione_C19H26O3_302.188202"	26	114	0	24	0	0	0	0	0
"19-Oxoandrost-4-ene-3,17-dione_C19H24O3_300.172485"	24	114	0	24	0	0	0	0	0
2-Hydroxyestrone_C18H22O3_286.156891	22	108	0	24	0	0	0	0	0
2-Methoxyestrone_C19H24O3_300.172485	24	114	0	24	0	0	0	0	0
16alpha-Hydroxyestrone_C18H22O3_286.156891	22	108	0	24	0	0	0	0	0
2-Hydroxyestradiol-17beta_C18H24O3_288.172485	24	108	0	24	0	0	0	0	0
2-Methoxyestradiol-17beta_C19H26O3_302.188202	26	114	0	24	0	0	0	0	0
Chlorophyll+a_C55H72MgN4O5_892.535095	72	330	28	40	0	0	0	0	0
Chlorophyll+b_C55H70MgN4O6_906.514404	70	330	28	48	0	0	0	0	0
Homocysteine_C4H9NO2S_135.035400	9	24	7	16	0	16	0	0	0
Phenethylamine_C8H11N_121.089104	11	48	7	0	0	0	0	0	0
Selenomethionine_C5H11NO2Se_196.995499	11	30	7	16	0	0	0	0	34
4-Hydroxyphenylacetyl-CoA_C29H42N7O18P3S_901.151978	42	174	49	144	45	16	0	0	0
beta-Alanyl-L-arginine_C9H19N5O3_245.148804	19	54	35	24	0	0	0	0	0
beta-Alanyl-L-lysine_C9H19N3O3_217.142700	19	54	21	24	0	0	0	0	0
(R)-4-Hydroxymandelate_C8H8O4_168.042297	8	48	0	32	0	0	0	0	0
GDP-4-dehydro-6-deoxy-L-mannose_C16H23N5O15P2_587.066406	23	96	35	120	30	0	0	0	0
beta-D-Fructose+6-phosphate_C6H13O9P_260.029785	13	36	0	72	15	0	0	0	0
2-Hydroxy-3-(4-hydroxyphenyl)propenoate_C9H8O4_180.042297	8	54	0	32	0	0	0	0	0
5(S)-HPETE_C20H32O4_336.230011	32	120	0	32	0	0	0	0	0
4-Carboxy-2-oxo-3-hexenedioate_C7H6O7_202.011398	6	42	0	56	0	0	0	0	0
"2-Hydroxy-2-hydropyrone-4,6-dicarboxylate_C7H6O6_186.016495"	6	42	0	48	0	0	0	0	0
"beta-D-Fructose+1,6-bisphosphate_C6H14O12P2_339.996002"	14	36	0	96	30	0	0	0	0
Nicotinurate_C8H8N2O3_180.053497	8	48	14	24	0	0	0	0	0
GDP-6-deoxy-L-mannose_C16H25N5O15P2_589.081970	25	96	35	120	30	0	0	0	0
3-Keto-beta-D-galactose_C6H10O6_178.047806	10	36	0	48	0	0	0	0	0
Lactose+6-phosphate_C12H23O14P_422.082489	23	72	0	112	15	0	0	0	0
Melibiitol_C12H24O11_344.131805	24	72	0	88	0	0	0	0	0
Epimelibiose_C12H22O11_342.116211	22	72	0	88	0	0	0	0	0
3-beta-D-Galactosyl-sn-glycerol_C9H18O8_254.100204	18	54	0	64	0	0	0	0	0
Melibiose_C12H22O11_342.116211	22	72	0	88	0	0	0	0	0
3-Ketolactose_C12H20O11_340.100586	20	72	0	88	0	0	0	0	0
D-Gal+alpha+1->6D-Gal+alpha+1->6D-Glucose_C18H32O16_504.168793	32	108	0	128	0	0	0	0	0
"L-Arabinono-1,5-lactone_C5H8O5_148.037201"	8	30	0	40	0	0	0	0	0
L-Xylonate_C5H10O6_166.047806	10	30	0	48	0	0	0	0	0
L-Lyxonate_C5H10O6_166.047806	10	30	0	48	0	0	0	0	0
L-Dehydroascorbate_C6H6O6_174.016495	6	36	0	48	0	0	0	0	0
"17alpha,21-Dihydroxy-5beta-pregnane-3,11,20-trione_C21H30O5_362.209290"	30	126	0	40	0	0	0	0	0
Urocortisone_C21H32O5_364.224915	32	126	0	40	0	0	0	0	0
"11beta,17alpha,21-Trihydroxy-5beta-pregnane-3,20-dione_C21H32O5_364.224915"	32	126	0	40	0	0	0	0	0
Urocortisol_C21H34O5_366.240601	34	126	0	40	0	0	0	0	0
"11beta,21-Dihydroxy-3,20-oxo-5beta-pregnan-18-al_C21H30O5_362.209290"	30	126	0	40	0	0	0	0	0
"3alpha,11beta,21-Trihydroxy-20-oxo-5beta-pregnan-18-al_C21H32O5_364.224915"	32	126	0	40	0	0	0	0	0
"11beta,21-Dihydroxy-5beta-pregnane-3,20-dione_C21H32O4_348.230103"	32	126	0	32	0	0	0	0	0
Tetrahydrocorticosterone_C21H34O4_350.245697	34	126	0	32	0	0	0	0	0
"21-Hydroxy-5beta-pregnane-3,11,20-trione_C21H30O4_346.214386"	30	126	0	32	0	0	0	0	0
"3alpha,21-Dihydroxy-5beta-pregnane-11,20-dione_C21H32O4_348.230103"	32	126	0	32	0	0	0	0	0
"5beta-Pregnane-3,20-dione_C21H32O2_316.240204"	32	126	0	16	0	0	0	0	0
3alpha-Hydroxy-5beta-pregnane-20-one_C21H34O2_318.255890	34	126	0	16	0	0	0	0	0
Cortolone_C21H34O5_366.240601	34	126	0	40	0	0	0	0	0
Cortol_C21H36O5_368.256195	36	126	0	40	0	0	0	0	0
"3alpha,20alpha,21-Trihydroxy-5beta-pregnane-11-one_C21H34O4_350.245697"	34	126	0	32	0	0	0	0	0
Pregnanediol_C21H36O2_320.271515	36	126	0	16	0	0	0	0	0
21-Hydroxypregnenolone_C21H32O3_332.235107	32	126	0	24	0	0	0	0	0
"17alpha,21-Dihydroxypregnenolone_C21H32O4_348.230011"	32	126	0	32	0	0	0	0	0
11-Deoxycortisol_C21H30O4_346.214386	30	126	0	32	0	0	0	0	0
"11beta,17alpha,21-Trihydroxypregnenolone_C21H32O5_364.224915"	32	126	0	40	0	0	0	0	0
11-Dehydrocorticosterone_C21H28O4_344.198792	28	126	0	32	0	0	0	0	0
21-Deoxycortisol_C21H30O4_346.214386	30	126	0	32	0	0	0	0	0
11beta-Hydroxyprogesterone_C21H30O3_330.219513	30	126	0	24	0	0	0	0	0
"17alpha,20alpha-Dihydroxycholesterol_C27H46O3_418.344696"	46	162	0	24	0	0	0	0	0
20alpha-Hydroxycholesterol_C27H46O2_402.349701	46	162	0	16	0	0	0	0	0
"20alpha,22beta-Dihydroxycholesterol_C27H46O3_418.344604"	46	162	0	24	0	0	0	0	0
22beta-Hydroxycholesterol_C27H46O2_402.349701	46	162	0	16	0	0	0	0	0
Estradiol-17beta+3-glucuronide_C24H32O8_448.209686	32	144	0	64	0	0	0	0	0
16-Glucuronide-estriol_C24H32O9_464.204498	32	144	0	72	0	0	0	0	0
Deoxyinosine_C10H12N4O4_252.085907	12	60	28	32	0	0	0	0	0
5-Ureido-4-imidazole+carboxylate_C5H6N4O3_170.044006	6	30	28	24	0	0	0	0	0
5-Amino-4-imidazole+carboxylate_C4H5N3O2_127.038200	5	24	21	16	0	0	0	0	0
L-Allothreonine_C4H9NO3_119.058197	9	24	7	24	0	0	0	0	0
3-Sulfinylpyruvate_C3H4O5S_151.977997	4	18	0	40	0	16	0	0	0
3-Sulfopyruvate_C3H4O6S_167.972900	4	18	0	48	0	16	0	0	0
6-Acetamido-2-oxohexanoate_C8H13NO4_187.084503	13	48	7	32	0	0	0	0	0
N6-D-Biotinyl-L-lysine_C16H28N4O4S_372.183105	28	96	28	32	0	16	0	0	0
Aerobactin_C22H36N4O13_564.227783	36	132	28	104	0	0	0	0	0
Hydantoin-5-propionate_C6H8N2O4_172.048401	8	36	14	32	0	0	0	0	0
Imidazole+lactate_C6H8N2O3_156.053497	8	36	14	24	0	0	0	0	0
Ergothioneine_C9H16N3O2S_230.096298	16	54	21	16	0	16	0	0	0
Thiourocanic+acid_C6H6N2O2S_170.014999	6	36	14	16	0	16	0	0	0
4-Oxoglutaramate_C5H7NO4_145.037506	7	30	7	32	0	0	0	0	0
Isoglutamate_C5H9NO4_147.053207	9	30	7	32	0	0	0	0	0
Hercynine_C9H16N3O2_198.124207	16	54	21	16	0	0	0	0	0
