Compound	H	C	N	O	P	S	Cl	Co	Se
dADP_C10H15N5O9P2_411.034393	15	60	35	72	30	0	0	0	0
Maltose_C12H22O11_342.116211	22	72	0	88	0	0	0	0	0
Oxalate_C2H2O4_89.995300	2	12	0	32	0	0	0	0	0
Adenosine_C10H13N5O4_267.096802	13	60	35	32	0	0	0	0	0
Sarcosine_C3H7NO2_89.047699	7	18	7	16	0	0	0	0	0
Thymidine_C10H14N2O5_242.090302	14	60	14	40	0	0	0	0	0
D-Glutamate_C5H9NO4_147.053207	9	30	7	32	0	0	0	0	0
Methylamine_CH5N_31.042200	5	6	7	0	0	0	0	0	0
"(5Z,8Z,11Z,14Z)-Icosatetraenoic+acid_C20H32O2_304.240204"	32	120	0	16	0	0	0	0	0
beta-D-Glucose_C6H12O6_180.063400	12	36	0	48	0	0	0	0	0
Adenylylsulfate_C10H14N5O10PS_427.019806	14	60	35	80	15	16	0	0	0
Primary+alcohol_CH3OR_31.018400	3	6	0	8	0	0	0	0	0
Acetyl+phosphate_C2H5O5P_139.987503	5	12	0	40	15	0	0	0	0
D-Xylulose+5-phosphate_C5H11O8P_230.019196	11	30	0	64	15	0	0	0	0
Succinate+semialdehyde_C4H6O3_102.031700	6	24	0	24	0	0	0	0	0
dCMP_C9H14N3O7P_307.056885	14	54	21	56	15	0	0	0	0
Guanine_C5H5N5O_151.049393	5	30	35	8	0	0	0	0	0
Lactose_C12H22O11_342.116211	22	72	0	88	0	0	0	0	0
Nitrate_HNO3_62.995602	1	0	7	24	0	0	0	0	0
Butanoic+acid_C4H8O2_88.052399	8	24	0	16	0	0	0	0	0
L-Sorbose_C6H12O6_180.063400	12	36	0	48	0	0	0	0	0
Pyridoxal_C8H9NO3_167.058304	9	48	7	24	0	0	0	0	0
Isomaltose_C12H22O11_342.116211	22	72	0	88	0	0	0	0	0
Riboflavin_C17H20N4O6_376.138214	20	102	28	48	0	0	0	0	0
(R)-Lactate_C3H6O3_90.031700	6	18	0	24	0	0	0	0	0
D-Glycerate_C3H6O4_106.026604	6	18	0	32	0	0	0	0	0
L-Arabinose_C5H10O5_150.052795	10	30	0	40	0	0	0	0	0
Benzaldehyde_C7H6O_106.041901	6	42	0	8	0	0	0	0	0
Hypoxanthine_C5H4N4O_136.038498	4	30	28	8	0	0	0	0	0
N-Acetylneuraminate_C11H19NO9_309.105988	19	66	7	72	0	0	0	0	0
